ZH-CN
中文
Chinese
Crash.TitleText	RGB同步工作室已经坠毁。
Dialog.CopyCommand	复制到剪贴板
Dialog.No	没有
Dialog.NoPremiumTitle	NoPremiumTitle
Dialog.NoUpdateText	目前您正在使用最新版本的应用程序。
Dialog.NoUpdateTitle	没有可用的更新
Dialog.OKCommand	好
Dialog.UpdateText	到RGB同步有可用的更新。你想更新吗？
Dialog.UpdateTitle	有可用更新
Dialog.Yes	是
Settings.AdminLabel	以管理员身份运行：
Settings.AdminText	AdminText
Settings.DelayLabel	启动延迟：
Settings.DelayToolTip	DelayToolTip
Settings.DelayUnit	秒
Settings.DevicesLabel	设备：
Settings.DiscordLabel	不和谐：
Settings.DiscordText	DiscordText
Settings.DiscordToolTip	DiscordToolTip
Settings.LanguageLabel	语言：
Settings.MinimizationLabel	启用最小化：
Settings.MinimizationText	MinimizationText
Settings.PollingRateLabel	投票率：
Settings.PollingRateToolTip	PollingRateTooltip
Settings.PollingRateUnit	PollingRateUnit
Settings.ThemeApplyBtnText	Settings.ThemeApplyBtnText
Settings.ThemeLabel	主题：
Settings.UpdateBtnText	检查更新
Settings.UpdateLabel	更新：
Settings.VersionLabel	版：
Settings.StartAsAdmin	开始作为管理员
Settings.StartAsAdminHelp	可以增加兼容性
Settings.ReleaseType	发行类型
Settings.ReleaseTypeHelp	你想要哪个版本？版本是稳定的，Beta版少所以，CI是不稳定的
Settings.MinimizeToTray	最小化到托盘
Settings.MinimizeToTrayHelp	如果该应用最小化工具栏或系统托盘？
Settings.MinimizeOnStart	尽量减少启动
Settings.MinimizeOnStartHelp	如果该应用显示出其在启动窗口，或瞬间最小化？
Store.ExperimentalBtnText	试验
Store.FilterLabel	搜索
Store.Plugin.DisableBtnLabel	禁用
Store.Plugin.InstallBtnLabel	安装
Store.Plugin.InstalledBtnLabel	安装
Store.Plugin.UninstallBtnLabel	卸载
Store.Plugin.VersionsBtnLabel	版本
Store.RefreshBtnText	刷新商店
Store.RestartAllBtnText	重新启动所有
Store.ShowStore	展店
Store.Experimental	切换实验
Store.Updates	切换更新
TrayMenu.ExitAppItem	退出应用程序
TrayMenu.OpenUIItem	打开应用
TrayMenu.RestartAppItem	重新启动应用程序
TrayMenu.TechSupportItem	技术支持
UI.AboutTabHeader	关于
UI.AppName	RGB同步
UI.DeviceTabHeader	设备
UI.ProfileTabHeader	简介
UI.SettingsTabHeader	设置
UI.StoreTabHeader	设备
About.OrigDev	RGB同步原始开发
About.20dev	RGBSync Studio开发
About.simpleleddev	了simpleLED项目协调员
About.Donations	JackNet RGB同步是自由和开放源码软件的工作。该计划是免费的，所以它可以提供给所有。然而，捐赠仍然赞赏和喜欢的事情Web托管帮助支付。
Donate.Patreon	捐款VIA PATREON
Donate.PayPal	捐款通过Paypal
About.Thanks	特别感谢所有的赞助人，翻译，和贡献者谁帮助使这个软件成为可能。您的贡献是极大的赞赏。
Devices.Info	信息
Devices.SyncTo	同步到
Devices.InfoDriver	司机：
Devices.InfoName	名称：
Devices.InfoAuthor	作者：
Devices.InfoDriverVersion	驱动程序版本：
Devices.Multiple	多个设备
Devices.Selected	选
Devices.Config	配置
Devices.Alignment	对准
Devices.NoConfig	该装置具有任何配置。
Devices.ZoomOut	缩小
Devices.ZoomIn	放大
Devices.Condensed	简要信息
Devices.IconView	图标视图
Devices.ShowSources	展会资源
Profile.TimeBasedTrigger	基于时间的触发
Profile.TimeToTrigger	时间要触发：
Profile.ProcessTrigger	正在运行的进程触发
Profile.ProcessName	过程监视的名称：
Profile.ProcessInvert	触发缺席
Profile.TriggerDesc	对于触发器
Profile.SelectProfile	切换到这个配置文件
Profile.EditProfile	编辑个人资料
Profile.Triggers	触发器
Profile.RemoveProfile	删除档案
Generic.Off	离
Generic.On	上
Generic.Yes	是
Generic.No	没有
Main.Devices	设备
Main.Profiles	简介
Main.Store	驱动程序
Main.About	关于
Main.CrashMe	紧急
Main.Settings	设置
Settings.ApiServer	API服务器
Settings.ApiServerHelp	启用此支持RGB同步工作室REST API服务器
Settings.RefreshFreq	刷新频率
Settings.RefreshFreqHelp	调整定时器的数目每秒RGB被更新
Settings.Language	语言
Fan	风扇
LEDStrip	灯带
GPU	GPU
MotherBoard	母板
Keyboard	键盘
Keypad	键盘
Mouse	老鼠
MousePad	鼠标垫
Headset	耳机
HeadsetStand	耳机支架
PSU	PSU
Cooler	散热器
Memory	记忆
Speaker	扬声器
Other	其他
AIO	AIO
WaterBlock	水冷头
Effect	影响
